"State, Year",abortion_rate,birth_rate,pregnancy_rate,"HIV Rate per 100,000","STD Rate per 100,000 People"
"Nevada, 2011",16.9,36,61.9,21.4,349.4492614
"New Hampshire, 2011",8.6,13.6,25.8,2.3,198.0711261
"New Jersey, 2011",22.3,18.6,46.8,14.5,310.9612083
"New Mexico, 2011",12.4,48.3,71.6,6.6,436.705976
"New York, 2011",30.2,21.1,58.5,24,550.1697704
"North Carolina, 2011",10.1,34.8,52.8,21.4,632.9010864
"North Dakota, 2011",5.7,28.4,40.3,4,285.1203083
"Ohio, 2011",10.1,31.4,48.8,14.8,557.6037914
"Oklahoma, 2011",6.6,48,64.9,12.7,389.2520703
"Oregon, 2011",11.3,25.8,43.4,6.4,318.7289933
"Pennsylvania, 2011",12.5,25,43.7,14.3,523.8135497
"Rhode Island, 2011",14.4,21.3,41.4,5.9,367.8491289
"South Carolina, 2011",10.8,38.9,58.6,27.8,711.9101104
"South Dakota, 2011",4.8,34.4,46.6,0.7,353.2201309
"Tennessee, 2011",8.4,40.8,58.2,21.2,542.3148509
"Texas, 2011",10.5,46.8,67.7,22.9,457.4321559
"Utah, 2011",4.1,23.8,33,4.2,151.3858883
"Vermont, 2011",10.5,16.7,31.5,1.9,204.4706519
"Virginia, 2011",12.4,24.5,43,16.1,422.2393051
"Washington, 2011",14.8,25.3,46.7,6.1,269.4710192
"West Virginia, 2011",9.6,43.9,63.3,6.4,245.3661053
"Wisconsin, 2011",5.7,23.3,34.3,6.5,438.3843987
"Wyoming, 2011",8.9,35.2,52,2.2,308.4766343
"Alabama, 2012",7.7,39.1,55.5,24.2,726.245459
"Alaska, 2012",12.1,34.7,55,3.9,468.0644216
"Arizona, 2012",7.8,37,53,10.9,373.7447619
"Arkansas, 2012",7.1,45.1,61.8,15.6,636.124626
"California, 2012",15.9,26.6,49.4,14.3,294.3148917
"Colorado, 2012",9.7,25.4,41.1,8.7,338.1702506
"Connecticut, 2012",14,15,33.4,8.4,319.4741569
"Delaware, 2012",16.8,25.1,48.6,22.6,438.2389203
"District of Columbia, 2012",20.3,38.9,69.1,119.5,1685.512349
"Florida, 2012",16.5,28,51.8,27.6,412.9327261
"Georgia, 2012",11.3,33.7,52.9,38.7,524.3613435
"Hawaii, 2012",18.3,28.1,53.8,3.3,311.2537113
"Idaho, 2012",6.1,28.3,40.7,2.6,198.6609826
"Illinois, 2012",13.3,27.9,48,18.9,574.7151194
"Indiana, 2012",5.6,33,45.8,13.5,445.7166148
"Iowa, 2012",6.5,24.1,36.1,4,333.4494255
"Kansas, 2012",5,34.1,46.4,6.7,335.9536062
"Kentucky, 2012",5,41.1,54.9,13.5,403.135237
"Louisiana, 2012",8,43.1,60.6,35.4,689.734784
"Maine, 2012",8.6,19.5,32.9,1,231.3555439
"Maryland, 2012",18.2,22.1,46.5,29.8,474.4823799
"Massachusetts, 2012",12.1,14,30.2,8.8,256.6922004
"Michigan, 2012",11,26.1,43.5,14.8,536.9987844
"Minnesota, 2012",6.4,18.6,29.3,6.9,297.8327759
"Mississippi, 2012",7.4,46,63.4,27.7,853.1554588
"Missouri, 2012",7.6,32.2,47,15.4,492.3488783
"Montana, 2012",8.6,28.8,44.1,1.9,324.6136579
"Nebraska, 2012",4.8,26.7,37.3,5.2,297.2441445
"Nevada, 2012",14.4,33.8,56.4,18.7,347.4735775
"New Hampshire, 2012",7.5,13.8,24.8,3.3,194.1934322
"New Jersey, 2012",16.4,16.7,38.1,17.4,234.5115253
"New Mexico, 2012",11.1,46.8,68.4,5.4,436.4393945
"New York, 2012",26.1,19.7,52.3,22.3,504.3263349
"North Carolina, 2012",9.7,31.8,48.9,18.4,531.5886055
"North Dakota, 2012",5.4,26.5,37.8,0.8,344.0765541
"Ohio, 2012",9,29.7,45.5,14.6,526.1871684
"Oklahoma, 2012",6.7,47.3,64.1,10.9,423.9440679
"Oregon, 2012",9.7,23.7,39.1,5.6,304.0399489
"Pennsylvania, 2012",11,23.7,40.5,15.4,510.6885491
"Rhode Island, 2012",11.3,19.8,36.2,2.7,401.2569309
"South Carolina, 2012",9.9,36.4,54.6,25.8,604.3959047
"South Dakota, 2012",3.8,33.5,44.4,0.7,415.2412063
"Tennessee, 2012",7.7,38.4,54.6,22.7,553.0045168
"Texas, 2012",9.1,44.2,63.1,23,437.4149598
"Utah, 2012",3.7,23.3,32,2.9,158.6861871
"Vermont, 2012",8.8,16.2,29.2,2.9,223.9482114
"Virginia, 2012",11.2,22.9,39.8,17.6,388.6090337
"Washington, 2012",12.9,23.3,42.1,6.9,266.9961626
"West Virginia, 2012",6.3,43.9,59.6,6.4,281.2740758
"Wisconsin, 2012",5.1,21.8,31.7,5.8,393.1864879
"Wyoming, 2012",7.1,34.9,49.7,1.1,322.7150387
"Alabama, 2013",6.5,34.2,48.2,22.3,655.4564835
"Alaska, 2013",10.1,30.6,47.8,3.1,473.9738706
"Arizona, 2013",6.7,33,46.9,12.7,348.5014089
"Arkansas, 2013",5.8,43.1,58.2,17.1,532.848406
"California, 2013",14.4,23.5,44.1,13,279.1105064
"Colorado, 2013",8.3,23.4,37.1,6,289.3095169
"Connecticut, 2013",12.7,12.9,29.5,10.5,318.9421143
"Delaware, 2013",15.2,24.4,46,16.1,537.3980165
"District of Columbia, 2013",26.4,32,67.5,86.7,1373.890413
"Florida, 2013",14.8,24.5,45.7,27.2,384.0017211
"Georgia, 2013",10,30.4,47.4,34.4,470.6835542
"Hawaii, 2013",13.2,25.1,44.7,6.1,305.4070253
"Idaho, 2013",4.2,25.7,35.4,1.5,231.2794924
"Illinois, 2013",12.3,24.7,43.1,21.1,506.1145691
"Indiana, 2013",5.2,30.2,42,13.6,396.357265
"Iowa, 2013",4.8,22,31.7,3.2,291.7394691
"Kansas, 2013",4.4,29.6,40.3,6.4,306.1258526
"Kentucky, 2013",4.8,39,52.1,9.6,367.2348364
"Louisiana, 2013",6.7,39.3,54.6,39.1,672.6515032
"Maine, 2013",7.8,17.4,29.4,1.5,217.0364912
"Maryland, 2013",17.1,19.3,41.9,26.9,443.1181882
"Massachusetts, 2013",9.2,11.9,24.4,8.7,226.4176155
"Michigan, 2013",10.1,23.5,39.2,12.8,469.643435
"Minnesota, 2013",5.6,16.8,26.4,6.1,293.8867041
"Mississippi, 2013",6.8,42.2,58.2,29.4,577.2562315
"Missouri, 2013",6.5,30,43.2,13.7,447.7354119
"Montana, 2013",7,27.8,41.1,1.8,321.1308907
"Nebraska, 2013",4.6,24.9,34.9,5.8,292.2913503
"Nevada, 2013",11.5,30.8,49.5,22.6,348.7755848
"New Hampshire, 2013",6.5,12.5,22.2,2.8,172.8719812
"New Jersey, 2013",16.5,14.9,36.1,14.8,255.2358053
"New Mexico, 2013",9,43,61.4,9.1,415.9536323
"New York, 2013",22.2,17.7,45.7,21.2,430.1516447
"North Carolina, 2013",9.3,28.4,44.3,19.7,469.2728497
"North Dakota, 2013",4.4,24.4,34.1,2.3,331.5075846
"Ohio, 2013",7.8,27.2,41.2,15.7,499.5771513
"Oklahoma, 2013",5.7,42.9,57.8,12.1,431.9990908
"Oregon, 2013",8.6,21.8,35.7,5.3,283.139163
"Pennsylvania, 2013",9.3,20.8,35.2,13.6,456.3168361
"Rhode Island, 2013",9.7,17.5,31.7,8.2,338.6740625
"South Carolina, 2013",9.1,31.7,48,24.1,510.9884943
"South Dakota, 2013",3.3,29.6,39.1,2.2,383.9180352
"Tennessee, 2013",6.8,34.8,49.3,19,464.6527183
"Texas, 2013",8,40.7,57.7,22.2,406.8308416
"Utah, 2013",3.5,20.8,28.7,3.2,149.2722804
"Vermont, 2013",9.5,14.5,27.9,1,248.9325834
"Virginia, 2013",10.6,20.1,35.8,18.5,344.1023503
"Washington, 2013",11.2,20.5,36.9,6.6,248.7355252
"West Virginia, 2013",5.1,40.2,53.8,3.5,267.0116525
"Wisconsin, 2013",4.5,19.5,28.4,5.6,373.6437451
"Wyoming, 2013",5.5,29.9,41.9,4.2,287.1058031
"Alabama, 2014",6.3,32,45.3,25.4,585.6841861
"Alaska, 2014",9.4,28.3,44.3,5.4,480.4140727
"Arizona, 2014",5.8,29.9,42.2,14.7,340.0022822
"Arkansas, 2014",5,39.3,52.7,21,528.2787087
"California, 2014",12.7,21.1,39.4,15.1,270.9304258
"Colorado, 2014",7.5,20.4,32.8,7.3,289.811695
"Connecticut, 2014",11.7,11.5,26.7,8.8,296.0847485
"Delaware, 2014",13.5,20.9,39.9,13.6,425.1480092
"District of Columbia, 2014",21.8,29,58.7,77,1079.677777
"Florida, 2014",13.3,22.5,41.6,28.5,377.9965605
"Georgia, 2014",9,28.3,43.8,33.2,445.7610848
"Hawaii, 2014",11.4,23.5,40.7,6.1,272.0295346
"Idaho, 2014",4.1,23.2,32.3,0.7,243.9223847
"Illinois, 2014",10.6,22.8,39,20.3,478.5564922
"Indiana, 2014",5.1,28,39.2,11.4,377.6400451
"Iowa, 2014",4.5,19.7,28.5,3.2,294.1377994
"Kansas, 2014",4.1,27.6,37.7,6.2,307.521466
"Kentucky, 2014",4.4,35.3,47.2,9.1,352.847905
"Louisiana, 2014",6.1,35.9,49.8,42.5,671.8900317
"Maine, 2014",6.9,16.4,27.4,5.2,216.9358422
"Maryland, 2014",15.2,17.9,38.1,26.2,428.1199106
"Massachusetts, 2014",8.6,10.5,22,8.7,211.9758284
"Michigan, 2014",9.1,21,35.3,14.1,425.5821125
"Minnesota, 2014",4.9,15.5,24,6.2,286.8785747
"Mississippi, 2014",6.1,37.8,52.1,29.1,694.5111602
"Missouri, 2014",5.3,27.3,38.5,13.8,428.9083372
"Montana, 2014",6.8,26.6,39.3,1.2,340.180731
"Nebraska, 2014",3.7,22.3,30.8,4.8,290.3482437
"Nevada, 2014",12,28.9,47.9,22.5,323.5512012
"New Hampshire, 2014",6.4,11,20.2,3.7,175.3424195
"New Jersey, 2014",14.6,13.2,31.9,16.5,239.7164882
"New Mexico, 2014",8.3,37.3,53.9,7.4,393.5272083
"New York, 2014",20.6,16.2,42.1,21.2,407.9073783
"North Carolina, 2014",8.1,26,40.1,23.1,433.4205069
"North Dakota, 2014",4.4,24.4,34.2,4.5,346.4647525
"Ohio, 2014",6.6,25.1,37.3,14.2,487.543123
"Oklahoma, 2014",5.4,38.6,52.2,10.1,469.1208721
"Oregon, 2014",8,20.1,32.9,4.6,292.9399053
"Pennsylvania, 2014",8.7,19.3,32.6,12.7,405.0359917
"Rhode Island, 2014",7.3,15.8,27,7.7,324.5319125
"South Carolina, 2014",8.1,28.5,43.1,30.6,553.6909258
"South Dakota, 2014",3.3,26.8,35.8,1.4,394.3608995
"Tennessee, 2014",6.2,33.2,46.7,20,438.7949544
"Texas, 2014",6,37.6,51.7,24.2,385.3137685
"Utah, 2014",3.2,19.6,27.1,3.5,160.6749852
"Vermont, 2014",8,14.3,26,5.7,295.7745197
"Virginia, 2014",7.6,18.5,30.5,17.9,355.2646755
"Washington, 2014",10,19.2,34,6.2,261.7736464
"West Virginia, 2014",5.1,36.6,49.6,7.5,236.7190797
"Wisconsin, 2014",4.5,18,26.6,6.8,354.5306354
"Wyoming, 2014",5.6,30.8,43.2,0,260.2253245
"Alabama, 2015",5.7,30.2,42.4,25.2,524.3352303
"Alaska, 2015",7.8,29.5,44.1,4,457.2385678
"Arizona, 2015",5.6,26.3,37.7,12.7,339.8607082
"Arkansas, 2015",4.2,38,50.2,14.8,535.7431206
"California, 2015",11.4,19,35.3,16.2,280.7328692
"Colorado, 2015",6.9,19.5,30.9,9.7,315.977923
"Connecticut, 2015",10.7,10.2,23.9,9,270.3886361
"Delaware, 2015",12.1,18.2,35.2,13.1,440.7345189
"District of Columbia, 2015",15.3,25.8,47.7,69.7,1291.047429
"Florida, 2015",11.7,20.8,37.8,31.2,404.9641182
"Georgia, 2015",8.2,25.6,39.7,38.9,477.3857883
"Hawaii, 2015",9.5,20.9,35.5,5.7,311.4550829
"Idaho, 2015",4,22.5,31.4,3.2,246.6391201
"Illinois, 2015",9.3,21.1,35.5,21.2,475.198423
"Indiana, 2015",4.7,26.1,36.5,10.8,371.977309
"Iowa, 2015",4.3,18.6,27,6,310.8270612
"Kansas, 2015",3.6,25.6,34.7,8,313.9337626
"Kentucky, 2015",3.7,32.3,42.8,11.6,345.9052044
"Louisiana, 2015",5.9,34.3,47.7,37.1,745.1732606
"Maine, 2015",6.4,15.3,25.5,5.3,228.2251957
"Maryland, 2015",13.3,17,35,26.4,416.6390674
"Massachusetts, 2015",7.4,9.4,19.4,7.9,240.4886909
"Michigan, 2015",7.9,19.3,31.9,13.2,430.8003275
"Minnesota, 2015",4.6,13.7,21.5,7.6,279.9536245
"Mississippi, 2015",5.1,34.7,47.2,35,615.9832724
"Missouri, 2015",5,25.2,35.7,13.6,450.86001
"Montana, 2015",6.3,25.5,37.5,4.3,359.2048222
"Nebraska, 2015",3.5,22.1,30.4,7.9,299.7423988
"Nevada, 2015",11,27.8,45.5,18.5,316.8579144
"New Hampshire, 2015",5.7,10.9,19.3,2.8,167.9519807
"New Jersey, 2015",16.1,12.2,32.3,15.6,241.2060957
"New Mexico, 2015",8.3,34.1,50,9.2,414.3518559
"New York, 2015",18.7,14.8,38.3,18.6,420.1912631
"North Carolina, 2015",7.3,23.6,36.4,21.4,572.3450382
"North Dakota, 2015",3.9,22.7,31.6,3.7,291.2760838
"Ohio, 2015",5.9,23.3,34.4,14.1,491.8488904
"Oklahoma, 2015",4.2,34.7,46.2,10.1,466.2340966
"Oregon, 2015",7.9,19.2,31.6,4.6,309.8841792
"Pennsylvania, 2015",8.1,17.8,30.2,13.3,393.5417496
"Rhode Island, 2015",8.1,14.3,26.2,3.9,297.1772145
"South Carolina, 2015",7.4,26.2,39.6,22.8,526.0051894
"South Dakota, 2015",2.6,26.5,34.7,3.6,354.5930886
"Tennessee, 2015",5.5,30.6,42.8,19.2,435.9538522
"Texas, 2015",5.5,34.4,47.3,23.4,404.8213284
"Utah, 2015",3.1,17.9,24.8,2.6,167.1817884
"Vermont, 2015",6.3,11.5,20.8,0,201.6268247
"Virginia, 2015",7.4,17.1,28.7,19.5,335.8066953
"Washington, 2015",9.5,17.6,31.6,6.9,272.8999514
"West Virginia, 2015",4.3,32.1,43.2,6.5,257.4020556
"Wisconsin, 2015",4.5,16.2,24.4,6.1,378.718341
"Wyoming, 2015",5,28.8,40.1,5.4,277.0778109
"Alabama, 2016",5.4,28.4,40,22.3,474.0017043
"Alaska, 2016",7.6,26,39.6,3.2,487.7411488
"Arizona, 2016",5.9,23.5,34.7,13.1,379.7612834
"Arkansas, 2016",3.9,34.7,45.9,18.7,580.1309581
"California, 2016",10.3,17,31.7,16.2,290.0772741
"Colorado, 2016",6.2,17.9,28.3,9.6,344.2636688
"Connecticut, 2016",9.2,9.4,21.4,8,279.0290546
"Delaware, 2016",11,19.7,35.6,11.9,561.373612
"District of Columbia, 2016",12.2,24.1,42.3,61.2,1045.494313
"Florida, 2016",10.6,19.2,34.7,28.6,435.157139
"Georgia, 2016",7.9,23.5,36.8,37.6,534.5180768
"Hawaii, 2016",8.4,19.3,32.4,6.3,290.7475427
"Idaho, 2016",3.8,19.9,28.1,3.2,245.4320998
"Illinois, 2016",8.4,18.8,31.8,19.1,496.8123307
"Indiana, 2016",4.7,23.5,33.3,10.7,402.1207459
"Iowa, 2016",4.2,17.2,25.3,5.5,340.3305058
"Kansas, 2016",3.4,21.9,30,5.6,352.722277
"Kentucky, 2016",3.4,30.9,40.9,8.6,368.0132499
"Louisiana, 2016",6.1,30.8,43.7,37.9,722.1852659
"Maine, 2016",5.8,14.8,24.1,2.7,242.401133
"Maryland, 2016",12.6,16,33.1,24.4,476.8978015
"Massachusetts, 2016",7,8.5,17.9,8,273.3963328
"Michigan, 2016",7.5,17.7,29.5,13.7,453.9089747
"Minnesota, 2016",4.8,12.6,20.3,7.5,329.7795774
"Mississippi, 2016",4.6,32.6,44.2,26.2,721.0983544
"Missouri, 2016",5.2,23.4,33.8,15.1,507.8523349
"Montana, 2016",5.3,23.7,34.2,0.6,376.2507563
"Nebraska, 2016",3,19.2,26.3,3.1,323.7848155
"Nevada, 2016",10.2,24.2,40.2,21.9,376.5404603
"New Hampshire, 2016",5.8,9.2,17.5,2.4,196.7846177
"New Jersey, 2016",16.3,11.2,31.4,14.9,267.3520961
"New Mexico, 2016",8.3,29.6,44.7,9,459.2849606
"New York, 2016",17.2,13.4,35,16.7,434.9982877
"North Carolina, 2016",6.2,21.7,32.9,23.5,528.8926656
"North Dakota, 2016",4,20.5,29.1,4.5,343.2242083
"Ohio, 2016",5.3,21.7,32,13.7,535.6401506
"Oklahoma, 2016",3.4,33.3,43.7,9.1,485.0031022
"Oregon, 2016",7.4,16.7,28.1,5.7,338.3340227
"Pennsylvania, 2016",7.6,15.9,27.4,13.1,423.4392768
"Rhode Island, 2016",8.4,13,24.8,6.2,367.0853104
"South Carolina, 2016",6.7,23.7,35.8,24.4,564.57447
"South Dakota, 2016",2.6,24.9,32.7,4.3,407.5596758
"Tennessee, 2016",5,27.9,39,18.2,471.2439086
"Texas, 2016",5.2,30.7,42.6,22,411.9445508
"Utah, 2016",2.8,15.7,22,5.4,179.6554176
"Vermont, 2016",7.1,10.2,20,0,179.3379402
"Virginia, 2016",6.7,15.5,26.1,16.2,270.7840064
"Washington, 2016",8.7,16.6,29.4,6.1,305.7832312
"West Virginia, 2016",4.6,29.4,40.4,3.7,245.6348125
"Wisconsin, 2016",4,15,22.5,7.4,430.154045
"Wyoming, 2016",4.5,26.5,36.7,2.2,279.6711587
"Alabama, 2017",5.1,27.1,38.1,24.4,689.132628
"Alaska, 2017",6.6,22,33.7,7.5,497.3154417
"Arizona, 2017",5.4,21.9,32.3,11.9,428.001507
"Arkansas, 2017",4,32.8,43.8,17.7,621.6108924
"California, 2017",9.6,15.1,28.7,15.4,320.7925834
"Colorado, 2017",6.2,16.1,26.2,9.5,383.4429038
"Connecticut, 2017",9.3,8.8,20.8,9,424.2616879
"Delaware, 2017",8.4,18.5,31.5,19,573.5679325
"District of Columbia, 2017",19.8,21.2,47.3,63.4,1281.546447
"Florida, 2017",9.1,18.2,31.8,27.9,464.9814396
"Georgia, 2017",7.4,21.9,34.5,35.1,553.9819109
"Hawaii, 2017",8.3,19,31.9,5.4,310.923939
"Idaho, 2017",3.4,18.5,26,2.8,274.6394055
"Illinois, 2017",8.6,17.4,30.4,17.6,517.8432484
"Indiana, 2017",4.8,22.8,32.6,11,473.8206977
"Iowa, 2017",3.5,16.1,23.1,6.7,373.4347556
"Kansas, 2017",3.7,21.3,29.7,9.1,401.8549846
"Kentucky, 2017",3.3,29,38.5,9.9,435.2852075
"Louisiana, 2017",5.8,29.2,41.3,33.2,788.2960571
"Maine, 2017",6.4,13.2,22.9,1.6,267.2866615
"Maryland, 2017",12.7,14.2,31,24,529.8210425
"Massachusetts, 2017",6.1,8,16.4,8.6,318.5113977
"Michigan, 2017",7.1,16.4,27.4,11.9,508.2145781
"Minnesota, 2017",4.7,12.1,19.7,6.4,339.4934746
"Mississippi, 2017",5.1,30.9,42.6,23.9,788.605074
"Missouri, 2017",5.3,22.5,32.8,13.2,536.5503983
"Montana, 2017",5.9,21.1,31.8,2.5,387.9649117
"Nebraska, 2017",3.2,18.2,25.4,6.2,336.845808
"Nevada, 2017",9,22,36.4,18.6,414.7061531
"New Hampshire, 2017",5.3,8.4,15.9,3.4,240.8608406
"New Jersey, 2017",14.9,10.4,28.9,15,273.1155314
"New Mexico, 2017",7.2,27.9,41.4,11.5,503.2137057
"New York, 2017",16.2,12.7,33,17.3,464.2278292
"North Carolina, 2017",6.7,20.5,31.9,19.7,596.5011801
"North Dakota, 2017",4.3,16.3,24.3,5.4,312.6428186
"Ohio, 2017",5.3,20.8,30.8,13.2,554.590173
"Oklahoma, 2017",3.8,29.7,39.8,8.5,496.0321202
"Oregon, 2017",7.2,15.1,26,5.6,369.4664452
"Pennsylvania, 2017",7.2,14.8,25.7,13,419.7648896
"Rhode Island, 2017",7.7,11.4,22.1,6.9,468.9204665
"South Carolina, 2017",6.9,21.7,33.6,21.3,679.1666565
"South Dakota, 2017",3.3,22.3,30.4,4.3,394.8748827
"Tennessee, 2017",4.4,26.6,36.7,18.3,516.7262835
"Texas, 2017",5.2,27.5,38.7,20.6,432.7648825
"Utah, 2017",3.1,15.1,21.5,4.3,193.4526191
"Vermont, 2017",5.1,10,17.6,2.9,182.3667893
"Virginia, 2017",5.9,15,24.6,15.9,299.8130813
"Washington, 2017",8.1,14.7,26.6,5.7,316.4958014
"West Virginia, 2017",4.1,27.1,37.1,8.3,230.8018587
"Wisconsin, 2017",3.9,13.8,20.8,7.1,436.9438732
"Wyoming, 2017",4.6,24.5,34.5,0,324.0955233
"Alabama, 2018",,,,24.2,680.8062384
"Alabama, 2019",,,,21.4,713.7698254
"Alabama, 2020",,,,20.8,618.6099911
"Alabama, 2021",,,,19,586.5418376
"Alabama, 2022",,,,,
"Alabama, 2023",,,,,
"Alaska, 2018",,,,4.2,504.1495132
"Alaska, 2019",,,,5.2,505.5605056
"Alaska, 2020",,,,5.2,432.9802088
"Alaska, 2021",,,,4.3,431.9625743
"Alaska, 2022",,,,,
"Alaska, 2023",,,,,
"Arizona, 2018",,,,13.3,417.2700621
"Arizona, 2019",,,,14.3,428.6131234
"Arizona, 2020",,,,11.8,388.3082171
"Arizona, 2021",,,,10.6,407.1097748
"Arizona, 2022",,,,,
"Arizona, 2023",,,,,
"Arkansas, 2018",,,,16.7,615.1958978
"Arkansas, 2019",,,,15.3,583.1282411
"Arkansas, 2020",,,,13.3,575.666321
"Arkansas, 2021",,,,13.6,610.8382062
"Arkansas, 2022",,,,,
"Arkansas, 2023",,,,,
"California, 2018",,,,14.9,330.0183609
"California, 2019",,,,13,327.5420717
"California, 2020",,,,10.8,254.4967524
"California, 2021",,,,11.6,252.2936069
"California, 2022",,,,,
"California, 2023",,,,,
"Colorado, 2018",,,,9.1,413.1774413
"Colorado, 2019",,,,9.1,436.7380276
"Colorado, 2020",,,,6,384.2958039
"Colorado, 2021",,,,8.3,353.456564
"Colorado, 2022",,,,,
"Colorado, 2023",,,,,
"Connecticut, 2018",,,,8.2,437.0279301
"Connecticut, 2019",,,,7.8,376.0602263
"Connecticut, 2020",,,,5.2,306.457445
"Connecticut, 2021",,,,7,346.5190426
"Connecticut, 2022",,,,,
"Connecticut, 2023",,,,,
"Delaware, 2018",,,,9.9,570.4015569
"Delaware, 2019",,,,13.5,605.4405112
"Delaware, 2020",,,,10.4,456.4079531
"Delaware, 2021",,,,11,483.5947687
"Delaware, 2022",,,,,
"Delaware, 2023",,,,,
"District of Columbia, 2018",,,,58.8,1258.019526
"District of Columbia, 2019",,,,45.5,1324.766965
"District of Columbia, 2020",,,,39.4,845.0563974
"District of Columbia, 2021",,,,29,818.0658878
"District of Columbia, 2022",,,,,
"District of Columbia, 2023",,,,,
"Florida, 2018",,,,26.7,475.0559945
"Florida, 2019",,,,24.9,500.4707993
"Florida, 2020",,,,17.9,464.3398295
"Florida, 2021",,,,20.1,452.1990094
"Florida, 2022",,,,,
"Florida, 2023",,,,,
"Georgia, 2018",,,,35.8,535.9756558
"Georgia, 2019",,,,36.1,558.9164506
"Georgia, 2020",,,,26.3,505.1563789
"Georgia, 2021",,,,32,556.5594821
"Georgia, 2022",,,,,
"Georgia, 2023",,,,,
"Hawaii, 2018",,,,5,339.0303495
"Hawaii, 2019",,,,4.6,344.0580342
"Hawaii, 2020",,,,0.5,268.4722783
"Hawaii, 2021",,,,4,226.5274779
"Hawaii, 2022",,,,,
"Hawaii, 2023",,,,,
"Idaho, 2018",,,,2.4,305.6049095
"Idaho, 2019",,,,1.4,299.4355844
"Idaho, 2020",,,,2,266.6867224
"Idaho, 2021",,,,2.2,239.8383584
"Idaho, 2022",,,,,
"Idaho, 2023",,,,,
"Illinois, 2018",,,,16.8,537.0774746
"Illinois, 2019",,,,16,557.2259442
"Illinois, 2020",,,,12.5,495.3970811
"Illinois, 2021",,,,11.8,448.5636718
"Illinois, 2022",,,,,
"Illinois, 2023",,,,,
"Indiana, 2018",,,,11.2,480.3284113
"Indiana, 2019",,,,8.9,483.1066108
"Indiana, 2020",,,,7.2,463.1549644
"Indiana, 2021",,,,8.8,444.7603699
"Indiana, 2022",,,,,
"Indiana, 2023",,,,,
"Iowa, 2018",,,,3.6,398.6117901
"Iowa, 2019",,,,4.6,439.0540086
"Iowa, 2020",,,,4.9,425.8952804
"Iowa, 2021",,,,3.5,419.4842398
"Iowa, 2022",,,,,
"Iowa, 2023",,,,,
"Kansas, 2018",,,,8.3,441.606363
"Kansas, 2019",,,,6.7,454.8852235
"Kansas, 2020",,,,5.6,458.7843866
"Kansas, 2021",,,,6.4,436.747774
"Kansas, 2022",,,,,
"Kansas, 2023",,,,,
"Kentucky, 2018",,,,11.4,390.4734166
"Kentucky, 2019",,,,9.4,430.9272
"Kentucky, 2020",,,,7.3,376.4156666
"Kentucky, 2021",,,,8.4,356.3429661
"Kentucky, 2022",,,,,
"Kentucky, 2023",,,,,
"Louisiana, 2018",,,,30.7,820.7016654
"Louisiana, 2019",,,,25.8,823.23399
"Louisiana, 2020",,,,25.3,797.1819319
"Louisiana, 2021",,,,30.4,825.4622079
"Louisiana, 2022",,,,,
"Louisiana, 2023",,,,,
"Maine, 2018",,,,2.2,213.9820955
"Maine, 2019",,,,2.7,110.2538408
"Maine, 2020",,,,0.5,105.650912
"Maine, 2021",,,,1.6,73.30825541
"Maine, 2022",,,,,
"Maine, 2023",,,,,
"Maryland, 2018",,,,21.6,532.8513081
"Maryland, 2019",,,,19.5,577.0095597
"Maryland, 2020",,,,14.8,500.9751466
"Maryland, 2021",,,,16.2,0
"Maryland, 2022",,,,,
"Maryland, 2023",,,,,
"Massachusetts, 2018",,,,7,321.8980235
"Massachusetts, 2019",,,,6.5,331.0075851
"Massachusetts, 2020",,,,4.1,264.2399077
"Massachusetts, 2021",,,,3.8,268.1097328
"Massachusetts, 2022",,,,,
"Massachusetts, 2023",,,,,
"Michigan, 2018",,,,10.9,514.7229232
"Michigan, 2019",,,,10.9,499.9335238
"Michigan, 2020",,,,7.6,460.9303396
"Michigan, 2021",,,,9,431.6436652
"Michigan, 2022",,,,,
"Michigan, 2023",,,,,
"Minnesota, 2018",,,,4.4,343.4561284
"Minnesota, 2019",,,,5.4,353.6149548
"Minnesota, 2020",,,,5.2,346.2735783
"Minnesota, 2021",,,,6.7,321.535816
"Minnesota, 2022",,,,,
"Minnesota, 2023",,,,,
"Mississippi, 2018",,,,25.4,811.4763111
"Mississippi, 2019",,,,25.6,947.808915
"Mississippi, 2020",,,,23.2,928.1882687
"Mississippi, 2021",,,,21.2,877.6218607
"Mississippi, 2022",,,,,
"Mississippi, 2023",,,,,
"Missouri, 2018",,,,12.4,555.753818
"Missouri, 2019",,,,11.4,550.828634
"Missouri, 2020",,,,7.7,537.8398211
"Missouri, 2021",,,,11.3,496.9073143
"Missouri, 2022",,,,,
"Missouri, 2023",,,,,
"Montana, 2018",,,,2.5,423.3095829
"Montana, 2019",,,,2.5,399.7946153
"Montana, 2020",,,,1.2,353.0826682
"Montana, 2021",,,,2.9,361.1706859
"Montana, 2022",,,,,
"Montana, 2023",,,,,
"Nebraska, 2018",,,,5,315.8162531
"Nebraska, 2019",,,,4.4,399.2591693
"Nebraska, 2020",,,,2.1,370.5757551
"Nebraska, 2021",,,,5.1,355.4983999
"Nebraska, 2022",,,,,
"Nebraska, 2023",,,,,
"Nevada, 2018",,,,21.8,459.1038995
"Nevada, 2019",,,,21.1,449.1542953
"Nevada, 2020",,,,14.8,321.3597213
"Nevada, 2021",,,,16.4,283.8804639
"Nevada, 2022",,,,,
"Nevada, 2023",,,,,
"New Hampshire, 2018",,,,1.5,205.7456121
